"Unit 1 Name","Unit 2 Name","Unit ID 1","Unit ID 2","Weekly APR","Daily Volume (USD)","Weekly Volume (USD)","AMM","URL"
"goBTC","AGR","NaN","NaN",0.5,1,2,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"fALGO","fGARD","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"COOP","CARD","NaN","NaN",1,0,4,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"CRSD","RWA","NaN","NaN",15.7,22,65,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","AKPP","NaN","NaN",4.8,2,19,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","Max","NaN","NaN",1.9,2,7,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","bDNRI","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDt","BAG","NaN","NaN",0.6,0,3,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","BAG","NaN","NaN",0.6,0,2,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"GOLD$","SILVER$","NaN","NaN",1.1,1,4,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","VYBE","NaN","NaN",1,2,12,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","ZONE","NaN","NaN",3.4,2,31,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"CRSD","AKPP","NaN","NaN",1.6,1,5,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","GARD","NaN","NaN",1,0,3,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goBTC","goMINT","NaN","NaN",1.6,2,17,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"BLAPU","COOP","NaN","NaN",0.3,0,1,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"Vote","goUSD","NaN","NaN",0.1,1,14,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","AHT","NaN","NaN",0.2,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","YLDY","NaN","NaN",1.2,1,9,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","Choice","NaN","NaN",0.1,2,17,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"Finite","COOP","NaN","NaN",1.3,1,3,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","xUSD","NaN","NaN",2.7,11,258,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"CRSD","ALC","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","DRUD","NaN","NaN",0.2,0,2,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","$Drakk","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"META","COOP","NaN","NaN",0.6,1,4,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goBTC","COO","NaN","NaN",1.9,1,3,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"VEST","algodots","NaN","NaN",6.9,0,14,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","CARD","NaN","NaN",1.6,2,10,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","VEST","NaN","NaN",0.4,0,1,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"Finite","CRSD","NaN","NaN",1.2,0,2,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","X-NFT","NaN","NaN",2.7,0,4,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","TEAR","NaN","NaN",0.4,0,1,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","BPM","NaN","NaN",5.2,2,8,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","BULO","NaN","NaN",0,0,1,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"EURS","goUSD","NaN","NaN",0.8,0,4,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","PEPE","NaN","NaN",8.8,3,13,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"VEST","WOOD","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ALGO","PURR","NaN","NaN",5.2,2,28,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"CRSD","Barb","NaN","NaN",2.3,1,3,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"goBTC","Algonaut","NaN","NaN",0,0,0,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"ORA","A200","NaN","NaN",0.3,0,15,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"USDC","Choice","NaN","NaN",2.9,0,4,"PactFi","https://app.pact.fi/add-liquidity/NaN"
"COOP","COO","NaN","NaN",3,1,4,"PactFi","https://app.pact.fi/add-liquidity/NaN"
