"Title15CharMax","Exp. Req.","Company","Job Type","Location","Employees","Industry","URL"
"Cryp. Comm. Mgr","2 years","Brightnode","TBD","Remote","2-10","Business Consulting and Services","https://brightnode.io/careers-at-brightnode/"
"Vis Des Intern","TBD","Cantina","Part Time","Boston, Massachusetts","51-200","Design Services","https://cantina.bamboohr.com/careers/88"
"FS SE","3 years","Carbon Counts","11-50","Computer Games","11-50","Computer Games","https://www.carboncounts.tech/software-engineer-full-stack"
"PlayerSuppLead","3 years","Carbon Counts","11-50","Computer Games","11-50","Computer Games","https://www.carboncounts.tech/player-support-lead"
"Proj. Mgr.","3 years","Carbon Counts","11-50","Computer Games","11-50","Computer Games","https://www.carboncounts.tech/project-manager"
"QA Mob. Tester","2 years","Carbon Counts","11-50","Computer Games","11-50","Computer Games","https://www.carboncounts.tech/qa-mobile-tester"
"Tech. Artist","2 years","Carbon Counts","11-50","Computer Games","11-50","Computer Games","https://www.carboncounts.tech/tech-artist"
"Dev. Relations","3 years","C3","Full-time","Remote","TBD","TBD","https://boards.greenhouse.io/c3/jobs/4079836005"
"Product Designe","4 years","C3","TBD","Miami (Remote)","TBD","TBD","https://boards.greenhouse.io/c3/jobs/4000058005"
"Snr FE Dev","7 years","C3","TBD","Remote","TBD","TBD","https://boards.greenhouse.io/c3/jobs/4000061005"
"Snr. SE. - TRD.","TBD","C3","TBD","Remote","TBD","TBD","https://boards.greenhouse.io/c3/jobs/4066632005"
"Comm. Mgr.","TBD","C3","TBD","Remote","TBD","TBD","https://boards.greenhouse.io/c3/jobs/4109609005"
"Head of Growth","TBD","C3","TBD","Remote","TBD","TBD","https://boards.greenhouse.io/c3/jobs/4098434005"
"Data Analyst","TBD","Cudos","TBD","Remote","51-200","Software Development","https://cudoventures.teamtailor.com/jobs/2137304-data-analyst"
"FS Dev.","TBD","Dahai Art","TBD","Hybrid","TBD","TBD","https://www.dahai.art/careers"
"UI/UX Eng.","TBD","Dahai Art","TBD","Hybrid","TBD","TBD","https://www.dahai.art/careers"
"Full Stack Dev.","TBD","Dequency","TBD","TBD","2-10","Technology, Information and Internet","https://twitter.com/AlgoFamily/status/1553518018210238464"
"Assoc. Mgr","2 years","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/associate-manager-business-solutions/"
"PR Mgr","3 years","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/pr-manager/"
"Graphic Des.","2 years","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/graphic-designer/"
"Assoc. Financ.","3 years","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/associate-finance-strategy/"
"Staff Account.","2 years","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/staff-accountant/"
"Mgr, Event Prod","5 years","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/manager-event-production/"
"Mgr, Spec. Proj","3 years","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/manager-special-projects/"
"Chief of Staff","4 years","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/chief-of-staff-to-the-coo/"
"Exec. Bus. Part","4 years","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/executive-business-partner/"
"HeadOfPrtnrMgmt","TBD","Drone Racing League","TBD","TBD","51-200","Spectator Sports","https://thedroneracingleague.com/jobs/head-of-partner-management/"
"Algorand Dev.","TBD","Finance Blocks","TBD","TBD","11-50","Banking","https://twitter.com/JSeltzer/status/1528866557572415488"
"Snr. SE.","TBD","GARD","Full-time","Washington D.C./Boston/Remote","2-10","Financial Services","https://docsend.com/view/uatck6i6wcfbvswk"
"SE","TBD","GARD","Full-time","Washington D.C./Boston/Remote","2-10","Financial Services","https://docsend.com/view/8nan88s8zfyt6cf8"
"Comm. Supp.","TBD","GARD","Full-time","Washington D.C./Boston/Remote","2-10","Financial Services","https://docsend.com/view/xv6vi7qz939vd72f"
"PersonalAssist.","TBD","Glitter","Full-time","Estonia/Lithuania/Remote","1-10","Research Services","https://www.glitterfinance.org/join-us"
"SnrReact&Flutt.","3 years","Glitter","Full-time","Estonia/Lithuania/Remote","1-10","Research Services","https://www.glitterfinance.org/join-us"
"Rust Dev. Sol.","3 years","Glitter","Full-time","Estonia/Lithuania/Remote","1-10","Research Services","https://www.glitterfinance.org/join-us"
"Princ. Web3 Dev.","TBD","Glitter","Full-time","Estonia/Lithuania/Remote","1-10","Research Services","https://www.glitterfinance.org/join-us"
"Snr Bus Analyst","2 years","Hivemind Capital","Full-time","New York, New York","1-10","Investment Management","https://boards.greenhouse.io/hivemindcapital/jobs/4341548004"
"Investment Prin","2 years","Hivemind Capital","Full-time","New York, New York","1-10","Investment Management","https://boards.greenhouse.io/hivemindcapital/jobs/4285441004"
"Research Princi","5 years","Hivemind Capital","Full-time","New York, New York","1-10","Investment Management","https://boards.greenhouse.io/hivemindcapital/jobs/4575304004"
"People Opera","5 years","Hivemind Capital","Full-time","New York, New York","11-50","Investment Management","https://boards.greenhouse.io/hivemindcapital/jobs/4390337004"
"Lead DevOps","TBD","IntellectEU","Full-time","Portugal (Remote)","201-500","IT Services and IT Consulting","https://www.linkedin.com/jobs/view/3289422934/"
"Sr SE BE","TBD","Metrika","TBD","Remote","11-50","Software Development","https://metrika.recruitee.com/o/senior-software-engineer-backend"
"Sr Prod Des","3 years","Metrika","TBD","Remote","11-50","Software Development","https://metrika.recruitee.com/o/senior-product-designer"
"Smrt Cont. Dev.","TBD","Neutral Token","TBD","TBD","TBD","TBD","https://twitter.com/Neutraltoken/status/1511734285203554313"
"VP Legl & Compl","5 years","Nada","Full-time","Dallas, TX","11-50","Financial Services","https://nada.breezy.hr/p/c90ac52f5cd5"
"VP Soft Dev","5 years","Nada","Full-time","Dallas, TX","11-50","Financial Services","https://nada.breezy.hr/p/89082984e6c2"
"Sr FS Dev","6 years","Nada","Full-time","Dallas, TX","11-50","Financial Services","https://nada.breezy.hr/p/a787926ea1b2"
"Soc Med Spclst","2 years","Nada","Full-time","Dallas, TX","11-50","Financial Services","https://nada.breezy.hr/p/7a88b1f2dfd3-social-media-lead"
"Acqstn Mkt Mgr","TBD","Nada","Full-time","Dallas, TX","11-50","Financial Services","https://nada.breezy.hr/p/e1f78b6a763a-growth-marketing-manager-platform"
"Prod Mkt Mgr","4 years","Nada","Full-time","Dallas, TX","11-50","Financial Services","https://nada.breezy.hr/p/39861be94388-product-manager"
"Proj. Mgr.","4 years","Napster","Full-time","Remote","201-500","Musicians","https://apply.workable.com/napster/j/43476E00C3/"
"Sr Cloud Arch","2 years","Napster","Full-time","Remote","201-500","Musicians","https://apply.workable.com/napster/j/A82CFE538E/"
"GM of Streaming","8 years","Napster","Full-time","Remote","201-500","Musicians","https://apply.workable.com/napster/j/1ABA83C765/"
"Sr Web3 Eng","TBD","Napster","Full-time","Remote","201-500","Musicians","https://apply.workable.com/napster/j/F8C4BF44B9/"
"Web3 Eng","TBD","Napster","Full-time","Remote","201-500","Musicians","https://apply.workable.com/napster/j/F36C4C08B6/"
"Sr BESE","5 years","Notifi","Full-time","Canada (Remote)","11-50","Software Development","https://www.linkedin.com/jobs/view/3302896362/"
"Swarm Program","TBD","PARSIQ","TBD","TBD","11-50","Software Development","https://hub.parsiq.net/swarm"
"Android Developer","2 years","pera","TBD","Remote","11-50","Blockchain Services","https://perawallet.app/join-our-team/android-developer/"
"Infra. & API Dev","2 years","pera","TBD","Remote","11-50","Blockchain Services","https://perawallet.app/join-our-team/api-developer/"
"Product Tester","TBD","pera","TBD","Remote","11-50","Blockchain Services","https://perawallet.app/join-our-team/product-tester/"
"Ambassador","TBD","Planet Watch","TBD","TBD","11-50","Environmental Services","https://www.planetwatch.io/ambassador-program/"
"Sentinel","TBD","Planet Watch","TBD","TBD","11-50","Environmental Services","https://www.planetwatch.io/ambassador-program/"
"Coder","TBD","Planet Watch","TBD","TBD","11-50","Environmental Services","https://www.planetwatch.io/ambassador-program/"
"DevOps Eng","5 years","Pocket Network","Full-time","Remote","11-50","Software Development","https://angel.co/company/pocket-network/jobs/2285130-devops-engineer"
"Prtcl Rsrch Eng","5 years","Pocket Network","Full-time","Remote","11-50","Software Development","https://angel.co/company/pocket-network/jobs/2368633-protocol-research-engineer"
"Prtcl SE","3 years","Pocket Network","Full-time","Remote","11-50","Software Development","https://angel.co/company/pocket-network/jobs/2347895-protocol-software-engineer"
"Bus Dev Rep","3 years","Pocket Network","Full-time","Remote","11-50","Software Development","https://angel.co/company/pocket-network/jobs/2370777-business-development-representative"
"Blockchain Dapp ","Entry level","POSLABS Inc.","Full-time","Miami Beach, FL","11-50","Software Development","https://www.linkedin.com/jobs/view/3187038945/"
"Flutter/Android","Entry level","POSLABS Inc.","Full-time","Miami Beach, FL","11-50","Software Development","https://www.linkedin.com/jobs/view/3236582626/"
"Flutter/Android","Entry level","POSLABS Inc.","Full-time","Miami, FL","11-50","Software Development","https://www.linkedin.com/jobs/view/3236576422/"
"SEO & Ads Exp.","Entry level","POSLABS Inc.","Part-time","Miami Beach, FL","11-50","Software Development","https://www.linkedin.com/jobs/view/3236578977/"
"China Dev. Rel.","2 years","PureStake","Full-time","Remote","1-10","IT Services and IT Consulting","https://www.purestake.com/about/careers/openings/?jobId=z7b0cuTxwAx3"
"Sr SE","5 years","Quantoz","Full-time","Utrecht","11-50","IT Services and IT Consulting","https://quantoz.homerun.co/senior-software-engineer-2/en"
"Head of Eng.","5 years","Roadies Labs","TBD","TBD","TBD","TBD","https://roadieslabs.notion.site/Founding-Head-of-Engineering-db754b09c4a24b409fcd59e998db57d8"
"SE Intern","1 years","Roadies Labs","TBD","TBD","TBD","TBD","https://roadieslabs.notion.site/Software-Engineer-Intern-e07245841a5d44c085aa8dc3fd312219"
"Mark & CommLead","2 years","Roadies Labs","TBD","TBD","TBD","TBD","https://roadieslabs.notion.site/Marketing-and-Community-Lead-ca5d3be1d68147a290143005116e9637"
"Digi Mark Intrn","TBD","Roadies Labs","TBD","TBD","TBD","TBD","https://roadieslabs.notion.site/Digital-Marketing-Intern-2075102200c84fd291a4da26036de577"
"Head of Design","5 years","Roadies Labs","TBD","TBD","TBD","TBD","https://roadieslabs.notion.site/Founding-Head-of-Design-8e13c4983a7c45b58c90bf0a84eb0557"
"UI/UX Des Intrn","3 years","Roadies Labs","TBD","TBD","TBD","TBD","https://roadieslabs.notion.site/UI-UX-Design-Intern-c9f3d3fb26814468bffd7ac4684da3b2"
"Head of ProdMgt","TBD","SEA","Full-time","TBD","TBD","TBD","https://sea.earth/jobs"
"Webflow Dev.","2 years","sign.net","Full-time","Mumbai, India","2-10","Software Development","https://www.sign.net/vacancy/webflow-developer"
"Graphic Des.","2 years","sign.net","Part Time","Sydney, Australia","2-10","Software Development","https://www.sign.net/vacancy/graphic-designer"
"Snr Web Dev","2 years","sign.net","Part Time","New York, USA","2-10","Software Development","https://www.sign.net/vacancy/senior-website-developer"
"Digital Des.","2 years","sign.net","Part Time","Sydney, Australia","2-10","Software Development","https://www.sign.net/vacancy/digital-designer"
"Jr Webflow Dev","2 years","sign.net","Part Time","Remote","2-10","Software Development","https://www.sign.net/vacancy/junior-webflow-developer"
"UI/UX Des. Int.","2 years","sign.net","Full-time","Mumbai, India","2-10","Software Development","https://www.sign.net/vacancy/ui-ux-design-intern"
"Dir. of Ecosys.","8 years","Six Clovers","Full-time","United States (Remote)","2-10","Financial Services","https://www.linkedin.com/jobs/view/3291243826/"
"General Role","TBD","Stablecorp","TBD","Toronto, Ontario","2-10","Software Development","https://www.stablecorp.ca/careers"
"FS Eng@Startup","TBD","TechTree","Full-time","United Kingdom (Remote)","11-50","Social Networking Platforms","https://www.linkedin.com/jobs/view/3308442757/"
"FS Eng@Startup","TBD","TechTree","Full-time","Germany (Remote)","11-51","Social Networking Platforms","https://www.linkedin.com/jobs/view/3306862630/"
"EngMgr @Startup","TBD","TechTree","Full-time","United Kingdom (Remote)","11-52","Social Networking Platforms","https://www.linkedin.com/jobs/view/3277967945/"
"Snr Prod Mgr","TBD","TechTree","Full-time","United Kingdom (Remote)","11-53","Social Networking Platforms","https://www.linkedin.com/jobs/view/3286981730/"
"Python Dev.","2 years","Ulam Labs","Full-time","Wrocław, Dolnośląskie, Poland (Hybrid)","51-200","IT Services and IT Consulting","https://www.linkedin.com/jobs/view/3293941600"
"Creat.Mark.Dir.","TBD","Webblen","Part-time","Remote","2-10","Technology, Information and Internet","https://www.webblen.io/jobs/creative-director-marketing-specialist"
"Sales Intern","TBD","Webblen","Part-time","Minneapolis","2-10","Technology, Information and Internet","https://www.webblen.io/jobs/sales-intern-minneapolis"
"Sales Intern","TBD","Webblen","Part-time","Fargo, ND","2-10","Technology, Information and Internet","https://www.webblen.io/jobs/sales-intern-minneapolis"
"Team Assistant","1 year","World Chess","TBD","Berlin, Germany","11-50","Spectator Sports","https://www.linkedin.com/jobs/view/3277722148"
"Community Manag","1 years","Zone","TBD","Remote","11-50","Entertainment Providers","https://careers.zone.game/jobs/Careers/58833000000417007"
